gameID,Home_Predicted_Score,Home_Actual_Score,Away_Predicted_Score,Away_Actual_Score,spread,total,Predicted_Winner,Actual_Winner,Predicted_Spread,Actual_Spread,Predicted_Total,Actual_Total
202304060SAS,115.15,129,112.25,127,-5.5,228.0,home,home,-2.9000000000000057,-2,227.4,256
202212120SAS,108.98,112,114.35,111,9.5,221.0,away,home,5.36999999999999,-1,223.32999999999998,223
202202010CHI,112.35,126,108.97,115,-7.5,222.5,home,home,-3.3799999999999955,-11,221.32,241
202404120GSW,113.92,109,109.46,114,-4.0,223.0,home,away,-4.460000000000008,5,223.38,223
202402260NYK,113.99,113,112.15,111,-11.0,226.0,home,home,-1.8399999999999892,-2,226.14,224
202212070TOR,113.5,126,119.46,113,-12.5,229.0,away,home,5.959999999999994,-13,232.95999999999998,239
202112280SAC,106.68,117,110.86,111,-5.5,224.5,away,home,4.179999999999993,-6,217.54000000000002,228
202204100MIN,120.7,120,114.34,124,-7.5,229.5,home,away,-6.359999999999999,4,235.04000000000002,244
202212170LAC,112.87,102,111.41,93,-5.0,219.5,home,home,-1.460000000000008,-9,224.28,195
202201050IND,110.21,121,111.53,129,7.5,223.5,away,away,1.3200000000000074,8,221.74,250
202201300MIL,110.74,100,112.6,136,-6.5,232.5,away,away,1.8599999999999994,36,223.33999999999997,236
202312020CHI,102.3,124,111.25,118,1.5,219.0,away,home,8.950000000000003,-6,213.55,242
202212210MIN,117.99,99,107.23,104,2.5,227.5,home,away,-10.759999999999991,5,225.22,203
202402030ATL,119.35,141,120.98,134,-2.5,244.5,away,home,1.6300000000000097,-7,240.32999999999998,275
202303260POR,115.41,112,116.43,118,10.5,232.5,away,away,1.0200000000000102,6,231.84,230
202202260MIL,119.14,123,112.48,126,-9.5,238.0,home,away,-6.659999999999997,3,231.62,249
202301160MEM,120.41,136,104.59,106,-12.5,231.5,home,home,-15.819999999999993,-30,225.0,242
202311220MIN,115.18,112,114.76,99,-7.0,221.0,home,home,-0.4200000000000017,-13,229.94,211
202311150POR,108.52,95,108.06,109,9.5,217.5,home,away,-0.45999999999999375,14,216.57999999999998,204
202312200ORL,114.5,106,110.38,115,-5.5,219.5,home,away,-4.1200000000000045,9,224.88,221
202112080SAC,111.01,142,107.99,130,-7.5,223.5,home,home,-3.0200000000000102,-12,219.0,272
202403240MIA,107.7,121,106.71,84,-3.5,202.5,home,home,-0.9900000000000091,-37,214.41,205
202204020ATL,124.23,122,117.34,115,2.5,242.5,home,home,-6.890000000000001,-7,241.57,237
202204030IND,113.54,117,117.94,121,-4.5,232.5,away,away,4.3999999999999915,4,231.48000000000002,238
202302010MIN,123.51,119,112.01,114,5.5,240.5,home,home,-11.5,-5,235.52,233
202403120NYK,99.64,106,104.84,79,-6.5,207.5,away,home,5.200000000000003,-27,204.48000000000002,185
202312140BOS,113.65,116,107.31,107,-8.5,227.0,home,home,-6.340000000000003,-9,220.96,223
202302230DAL,121.98,142,112.81,116,-14.0,239.5,home,home,-9.170000000000002,-26,234.79000000000002,258
202401050BRK,116.58,124,122.38,115,4.5,234.0,away,home,5.799999999999997,-9,238.95999999999998,239
202303010POR,116.78,110,109.49,121,-3.0,235.0,home,away,-7.290000000000006,11,226.26999999999998,231
202301240IND,112.52,116,117.06,110,2.0,234.5,away,home,4.540000000000006,-6,229.57999999999998,226
202312250LAL,116.47,115,117.95,126,6.5,235.5,away,away,1.480000000000004,11,234.42000000000002,241
202401150BRK,111.17,95,110.71,96,1.0,221.0,home,away,-0.46000000000000796,1,221.88,191
202201100BOS,110.0,101,104.07,98,-9.5,212.0,home,home,-5.930000000000007,-3,214.07,199
202301040TOR,117.86,101,111.12,104,-5.5,223.5,home,away,-6.739999999999995,3,228.98000000000002,205
202403050TOR,110.15,98,113.75,139,8.5,230.5,away,away,3.5999999999999943,41,223.9,237
202212080POR,114.23,120,112.71,121,1.5,227.5,home,away,-1.5200000000000102,1,226.94,241
202211020MIL,112.43,116,106.31,91,-11.5,223.5,home,home,-6.1200000000000045,-25,218.74,207
202203130NOP,121.69,130,110.71,105,-7.0,231.5,home,home,-10.980000000000004,-25,232.39999999999998,235
202212050DAL,115.4,130,108.55,111,-3.5,223.0,home,home,-6.8500000000000085,-19,223.95,241
202202030TOR,110.6,127,109.97,120,-4.5,222.0,home,home,-0.6299999999999955,-7,220.57,247
202212080MIA,110.6,115,111.26,110,-6.5,211.0,away,home,0.6600000000000108,-5,221.86,225
202211090TOR,117.85,116,107.51,109,-10.0,224.0,home,home,-10.33999999999999,-7,225.36,225
202312020SAC,123.37,123,116.01,117,-3.5,235.0,home,home,-7.359999999999999,-6,239.38,240
202212050TOR,108.48,110,111.7,116,-1.5,228.5,away,away,3.219999999999999,6,220.18,226
202111240OKC,103.2,104,109.08,110,14.0,208.5,away,away,5.8799999999999955,6,212.28,214
202211090ORL,113.45,94,114.98,87,8.5,213.0,away,home,1.5300000000000011,-7,228.43,181
